Site	Date	DIC (mg/L)	DOC (mg/L)
C1	2006-03-22	1.76	9.24
C1	2006-04-06	2.03	7.49
C1	2006-04-11	1.84	8.83
C1	2006-04-19	1.85	10.49
C1	2006-04-24	1.57	14.77
C1	2006-04-26	1.95	17.55
C1	2006-04-28	1.11	21.83
C1	2006-04-30	0.88	24.42
C1	2006-05-02	0.78	21.19
C1	2006-05-05	0.95	12.87
C1	2006-05-08	0.97	20.47
C1	2006-05-11	0.94	18.58
C1	2006-05-17	0.92	16.01
C1	2006-05-24	1.08	18.53
C1	2006-05-30	0.82	24.45
C1	2006-06-07	1.03	15.16
C1	2006-06-28	1.43	12.40
C1	2006-08-16	1.51	13.29
C1	2006-09-05	0.94	12.66
C1	2006-10-05	0.79	22.74
C1	2006-10-16	0.68	16.83
C1	2006-11-01	1.01	12.62
C1	2006-11-29	0.73	19.66
C1	2006-12-18	0.84	16.21
C1	2007-01-31	2.06	8.68
C1	2007-03-14	2.27	9.52
C1	2007-03-22	1.58	8.38
C1	2007-03-28	1.59	10.61
C1	2007-04-03	1.37	13.94
C1	2007-04-10	1.12	10.44
C1	2007-04-16	1.14	18.48
C1	2007-04-23	0.73	14.53
C1	2007-04-26	0.78	18.60
C1	2007-04-30	0.75	14.52
C1	2007-05-09	0.62	17.41
C1	2007-05-14	0.65	12.73
C1	2007-05-22	0.64	17.18
C1	2007-06-04	0.85	9.29
C1	2007-06-18	0.91	11.19
C1	2007-07-02	1.54	10.34
C1	2007-07-17	1.76	9.76
C1	2007-07-30	0.74	16.14
C1	2007-08-13	1.05	12.76
C1	2007-08-29	0.60	23.69
C1	2007-09-12	7.75	8.08
C1	2007-10-03	0.62	19.32
C1	2007-11-03	0.68	22.34
C1	2007-12-12	0.96	19.10
C1	2008-02-13	0.84	14.80
C1	2008-03-12	0.82	16.70
C1	2008-04-02	1.04	14.26
C1	2008-04-18	0.94	15.49
C1	2008-04-24	0.80	19.19
C1	2008-04-28	0.72	29.47
C1	2008-05-01	0.84	34.94
C1	2008-05-06	0.73	23.42
C1	2008-05-08	0.68	22.42
C1	2008-05-12	0.77	20.39
C1	2008-05-19	0.63	16.14
C1	2008-06-02	0.86	12.80
C1	2008-06-16	0.68	18.72
C1	2008-07-01	1.05	14.19
C1	2008-07-15	1.28	14.01
C1	2008-07-29	1.16	28.08
C1	2008-08-13	0.20	28.00
C1	2008-08-26	0.70	26.46
C1	2008-09-09	1.01	23.24
C1	2008-09-29	1.22	17.83
C1	2008-10-11	1.15	25.88
C1	2008-10-26	1.02	26.21
C1	2008-11-08	1.02	19.11
C1	2008-12-09	1.18	15.00
C1	2009-01-08	1.99	12.58
C1	2009-03-12	1.43	11.06
C1	2009-04-07	1.48	12.89
C1	2009-04-14	1.00	19.96
C1	2009-04-20	1.13	16.11
C1	2009-04-24	1.47	20.65
C1	2009-04-27	1.26	30.14
C1	2009-04-29	1.12	26.96
C1	2009-05-04	1.21	26.45
C1	2009-05-05	1.05	
C1	2009-05-08	1.05	22.57
C1	2009-05-13	0.91	20.42
C1	2009-05-27	0.76	16.84
C1	2009-06-09	0.86	13.50
C1	2009-06-26	1.31	13.16
C1	2009-07-08	1.41	29.05
C1	2009-08-04	1.17	24.04
C1	2009-08-19	1.48	26.28
C1	2009-09-01	1.20	23.66
C1	2009-09-15	1.24	22.76
C1	2009-10-06	1.29	
C1	2009-10-20	0.88	
C1	2009-11-03	0.61	
C1	2009-11-24	0.90	
C1	2009-12-15	0.93	
C1	2010-08-31	0.51	28.84
C1	2010-09-28	0.73	24.09
C1	2010-10-10	0.86	20.89
C1	2010-10-26	0.78	20.40
C1	2010-11-09	1.22	18.98
C1	2010-12-16	2.19	11.23
C1	2011-01-18	4.97	12.08
C1	2011-02-21	2.05	10.98
C1	2011-03-21	2.73	11.11
C1	2011-04-04	2.91	10.96
C1	2011-04-11	2.39	15.29
C1	2011-04-14	2.25	23.44
C1	2011-04-18	1.74	25.72
C1	2011-04-21	1.53	23.15
C1	2011-04-25	1.27	21.47
C1	2011-05-02	0.81	19.13
C1	2011-05-09	0.75	17.92
C1	2011-05-23	0.76	19.62
C1	2011-06-07	0.84	17.42
C1	2011-06-21	0.91	15.97
C1	2011-07-04	0.97	17.37
C1	2011-07-18	1.25	14.49
C1	2011-08-02	0.62	
C1	2011-08-31	0.89	22.44
C1	2011-09-13	0.62	33.51
C1	2011-09-28	0.76	31.95
C1	2011-10-10	0.79	27.10
C1	2011-10-25	0.85	22.09
C1	2011-11-28	1.85	20.79
C1	2011-12-20	0.79	20.93
C1	2012-01-19	0.70	16.65
C1	2012-02-14	1.37	14.44
C1	2012-03-27	1.14	22.47
C1	2012-04-02	0.74	20.80
C1	2012-04-10	0.84	17.34
C1	2012-04-17	0.70	19.06
C1	2012-04-26	0.79	24.06
C1	2012-04-30	0.87	25.51
C1	2012-05-03	0.76	24.10
C1	2012-05-07	0.73	22.63
C1	2012-05-10	0.70	22.06
C1	2012-05-14	0.62	20.33
C1	2012-05-18	0.66	
C1	2012-05-22	1.39	20.51
C1	2012-06-05	0.83	22.38
C1	2012-06-19	0.56	17.94
C1	2012-07-03	0.52	29.24
C1	2012-07-17	0.57	31.20
C1	2012-07-31	0.66	19.52
C1	2012-08-14	0.82	21.36
C1	2012-08-28	0.60	43.92
C1	2012-09-11	0.65	24.86
C1	2012-09-25	0.66	25.09
C1	2012-10-10	0.64	31.68
C1	2012-10-24	0.61	25.71
C1	2012-11-21	0.61	19.93
C1	2012-12-18	0.89	12.99
C1	2013-01-22	0.96	14.88
C1	2013-02-20	0.92	15.06
C1	2013-03-26	1.09	15.68
C1	2013-04-17	0.99	21.77
C1	2013-04-24	0.67	25.67
C1	2013-04-29	0.68	23.10
C1	2013-05-06	0.77	23.02
C1	2013-05-10	0.73	23.29
C1	2013-05-16	0.61	20.67
C1	2013-05-29	0.60	15.62
C1	2013-06-12	0.77	14.58
C1	2013-06-25	0.74	19.14
C1	2013-07-04	0.55	33.02
C1	2013-07-23	0.92	14.34
C1	2013-08-06	0.92	19.56
C1	2013-08-21	0.84	25.12
C1	2013-09-09	0.96	22.10
C1	2013-09-20	0.96	33.85
C1	2013-10-02	0.52	26.32
C1	2013-10-16	0.65	22.73
C1	2013-10-29	0.55	30.48
C1	2013-11-20	0.66	21.27
C1	2013-12-17	0.67	20.58
C1	2014-01-27	5.43	9.55
C1	2014-02-25	3.35	17.96
C1	2014-03-25	2.09	14.87
C1	2014-04-14	2.01	20.17
C1	2014-04-22	1.49	23.08
C1	2014-04-29	1.02	
C1	2014-05-05	0.87	18.41
C1	2014-05-27	0.61	
C1	2014-06-10	0.54	30.18
C1	2014-06-24	0.60	22.02
C1	2014-07-08	1.33	14.58
C1	2014-07-22	0.60	25.85
C1	2014-08-05	0.72	22.29
C1	2014-08-19	0.64	38.23
C1	2014-09-02	0.71	23.35
C1	2014-09-16	0.94	16.95
C1	2014-09-29	0.85	19.24
C1	2014-10-28	0.61	25.71
C1	2014-11-18	0.68	17.17
C1	2014-12-16	0.56	21.98
C1	2015-01-20	1.03	14.29
C1	2015-02-17	1.12	15.60
C1	2015-03-17	1.19	15.38
C1	2015-03-31	1.41	16.38
C1	2015-04-09	1.03	21.06
C1	2015-04-14	0.98	26.73
C1	2015-04-17	0.90	23.26
C1	2015-04-21	0.86	25.14
C1	2015-04-24	0.76	22.71
C1	2015-04-27	0.73	21.74
C1	2015-04-30	0.67	21.31
C1	2015-05-05	0.65	20.53
C1	2015-05-07	0.67	22.31
C1	2015-05-12	0.60	18.64
C1	2015-05-19	0.56	18.19
C1	2015-06-02	0.54	23.04
C1	2015-06-16	0.62	15.75
C1	2015-06-30	0.63	21.08
C1	2015-07-14	0.51	
C1	2015-07-31	0.66	25.71
C1	2015-08-11	0.69	22.96
C1	2015-08-25	1.10	15.84
C1	2015-09-07	0.95	17.09
C1	2015-09-22	0.64	27.89
C1	2015-10-06	0.87	19.61
C1	2015-10-20	1.02	18.82
C1	2015-11-03	0.93	18.58
C1	2015-11-24	1.24	19.22
C1	2015-12-15	2.52	17.64
C1	2016-02-15	2.07	
C1	2016-03-30	2.58	16.04
C1	2016-04-07	3.32	29.02
C1	2016-04-12	1.48	25.36
C1	2016-04-18	1.34	24.17
C1	2016-04-20	1.34	23.69
C1	2016-04-28	1.47	27.69
C1	2016-05-02	0.95	24.96
C1	2016-05-04	0.87	23.89
C1	2016-05-09	0.70	23.91
C1	2016-05-12	0.66	20.70
C1	2016-05-17	0.62	20.51
C1	2016-05-31	0.68	18.43
C1	2016-06-14	0.70	14.87
C1	2016-06-29	0.60	26.27
C1	2016-07-12	0.67	21.60
C1	2016-07-26	0.91	19.20
C1	2016-08-09	0.83	19.53
C1	2016-08-23	0.53	35.00
C1	2016-09-20	1.19	18.53
C1	2016-10-05	0.77	28.31
C1	2016-10-18	1.01	19.81
C1	2017-01-10	1.61	15.23
C1	2017-03-10	1.65	11.68
C1	2017-04-04	1.58	15.48
C1	2017-04-11	0.85	29.06
C1	2017-04-18	1.16	18.22
C1	2017-04-25	0.98	20.31
C1	2017-05-02	0.86	24.36
C1	2017-05-05	0.78	32.74
C1	2017-05-09	0.69	22.53
C1	2017-05-18	0.69	24.74
C1	2017-05-23	0.68	25.86
C1	2017-06-13	0.66	17.69
C1	2017-06-27	0.56	31.05
C1	2017-07-11	0.81	19.70
C1	2017-07-25	0.89	21.14
C1	2017-08-08	0.93	25.03
C1	2017-08-22	0.66	26.21
C1	2017-09-08	0.91	18.32
C1	2017-09-21	0.65	30.01
C1	2017-10-04	0.67	45.63
C1	2018-01-15	0.95	15.10
C1	2018-02-13	1.04	16.80
C1	2018-03-15	1.33	14.34
C1	2018-04-03	1.24	15.50
C1	2018-04-17	1.24	0.55
C1	2018-04-24	0.89	27.30
C1	2018-05-04	0.74	24.66
C1	2018-05-07	0.65	21.24
C1	2018-05-09	0.65	21.24
C1	2018-05-15	0.62	20.46
C1	2018-05-29	0.68	14.39
C1	2018-06-12	0.87	11.57
C1	2018-06-28	0.80	15.66
C1	2018-07-10	1.48	14.22
C1	2018-07-24	0.62	25.08
C1	2018-08-07	0.84	21.28
C1	2018-09-05	1.68	14.84
C1	2018-09-18	1.54	13.52
C1	2018-10-02	1.03	16.33
C1	2018-10-16	0.88	17.64
C1	2018-10-30	1.00	14.67
C1	2018-11-13	0.51	27.85
C1	2018-11-27	1.83	14.03
C1	2018-12-11	0.71	20.43
C1	2019-01-24	1.58	13.23
C1	2019-02-20	1.39	10.10
C1	2019-03-21	1.68	11.45
C1	2019-04-18	1.16	22.51
C1	2019-04-24	0.78	26.56
C1	2019-04-26	0.69	24.33
C1	2019-04-30	0.71	22.41
C1	2019-05-08	0.62	
C1	2019-05-14	0.60	22.82
C1	2019-05-21	0.61	17.69
C1	2019-06-04	0.56	
C2	2006-02-14	3.28	8.06
C2	2006-03-22	4.34	7.46
C2	2006-04-06	4.89	7.57
C2	2006-04-11	4.49	7.92
C2	2006-04-19	3.64	9.37
C2	2006-04-24	3.32	11.72
C2	2006-04-26	3.52	18.97
C2	2006-04-28	2.82	24.39
C2	2006-04-30	2.29	25.84
C2	2006-05-02	1.62	22.53
C2	2006-05-05	1.49	12.60
C2	2006-05-08	1.57	18.88
C2	2006-05-11	1.51	16.43
C2	2006-05-17	1.65	13.99
C2	2006-05-24	1.79	14.02
C2	2006-05-30	1.54	23.29
C2	2006-06-07	2.26	14.41
C2	2006-06-28	6.37	10.08
C2	2006-09-05	2.09	11.64
C2	2006-10-05	2.16	28.73
C2	2006-10-16	2.53	18.78
C2	2006-11-01	2.37	12.05
C2	2006-11-29	1.29	19.56
C2	2006-12-18	1.33	14.31
C2	2007-01-31	3.50	5.29
C2	2007-03-14	4.33	11.90
C2	2007-03-22	3.74	12.55
C2	2007-03-28	4.03	14.45
C2	2007-04-03	2.63	19.82
C2	2007-04-10	2.74	13.72
C2	2007-04-16	1.60	20.99
C2	2007-04-23	1.40	14.09
C2	2007-04-26	1.31	15.78
C2	2007-04-30	1.40	14.59
C2	2007-05-09	1.33	15.44
C2	2007-05-14	1.67	13.44
C2	2007-05-22	1.71	16.69
C2	2007-06-04	3.81	9.85
C2	2007-06-18	4.05	12.79
C2	2007-07-02	7.58	14.46
C2	2007-07-17	17.77	26.76
C2	2007-07-30	3.16	18.94
C2	2007-08-13	4.40	18.89
C2	2007-08-29	2.09	20.38
C2	2007-09-12	5.75	5.99
C2	2007-10-03	2.50	19.26
C2	2007-11-03	2.11	17.63
C2	2007-12-12	2.41	18.26
C2	2008-01-16	1.43	13.02
C2	2008-02-13	1.86	12.01
C2	2008-03-12	2.14	11.65
C2	2008-04-02	3.01	10.63
C2	2008-04-18	2.34	12.00
C2	2008-04-24	1.99	14.96
C2	2008-04-28	1.77	26.76
C2	2008-05-01	1.44	29.26
C2	2008-05-06	1.12	23.08
C2	2008-05-08	1.03	20.60
C2	2008-05-12	1.22	18.11
C2	2008-05-19	1.16	14.08
C2	2008-06-02	2.45	12.93
C2	2008-06-16	2.10	17.43
C2	2008-07-01	3.97	15.59
C2	2008-07-15	6.43	13.02
C2	2008-07-29	5.40	20.27
C2	2008-08-13	2.74	25.91
C2	2008-08-26	2.80	26.71
C2	2008-09-09	3.52	22.33
C2	2008-09-29	3.94	19.66
C2	2008-10-11	2.86	20.63
C2	2008-10-26	2.31	22.28
C2	2008-11-08	2.44	16.71
C2	2008-12-09	2.38	14.17
C2	2009-01-08	4.36	12.65
C2	2009-03-12	12.92	10.50
C2	2009-04-07	3.38	11.27
C2	2009-04-14	3.98	14.02
C2	2009-04-24	3.89	15.34
C2	2009-04-27	2.53	32.64
C2	2009-04-29	1.96	26.86
C2	2009-05-04	1.83	26.23
C2	2009-05-05	1.48	
C2	2009-05-08	1.51	21.20
C2	2009-05-13	1.33	18.15
C2	2009-05-27	1.53	14.50
C2	2009-06-09	2.56	13.73
C2	2009-06-26	5.91	15.47
C2	2009-07-08	0.76	29.48
C2	2009-08-04	3.65	24.41
C2	2009-08-19	3.75	24.47
C2	2009-09-01	3.84	26.34
C2	2009-09-15	4.36	25.47
C2	2009-10-06	2.41	
C2	2009-10-20	2.42	
C2	2009-11-03	2.14	
C2	2009-11-24	1.68	
C2	2009-12-15	2.30	
C2	2010-02-10	2.54	11.37
C2	2010-03-09	3.48	10.35
C2	2010-03-25	2.40	10.56
C2	2010-04-06	3.97	11.44
C2	2010-04-12	2.40	12.46
C2	2010-04-15	3.05	16.01
C2	2010-04-19	3.24	16.55
C2	2010-04-22	3.15	15.14
C2	2010-04-26	2.74	16.66
C2	2010-04-29	2.38	21.27
C2	2010-05-03	1.93	23.76
