Site	Date	Discharge (L/s)
C1	2006-01-01	0.9
C1	2006-01-02	0.9
C1	2006-01-03	0.9
C1	2006-01-04	0.9
C1	2006-01-05	0.9
C1	2006-01-06	0.9
C1	2006-01-07	0.9
C1	2006-01-08	0.9
C1	2006-01-09	0.9
C1	2006-01-10	0.9
C1	2006-01-11	0.9
C1	2006-01-12	0.9
C1	2006-01-13	0.9
C1	2006-01-14	0.9
C1	2006-01-15	0.9
C1	2006-01-16	0.9
C1	2006-01-17	0.8
C1	2006-01-18	0.8
C1	2006-01-19	0.8
C1	2006-01-20	0.8
C1	2006-01-21	0.8
C1	2006-01-22	0.8
C1	2006-01-23	0.8
C1	2006-01-24	0.8
C1	2006-01-25	0.8
C1	2006-01-26	0.8
C1	2006-01-27	0.8
C1	2006-01-28	0.8
C1	2006-01-29	0.8
C1	2006-01-30	0.8
C1	2006-01-31	0.8
C1	2006-02-01	0.8
C1	2006-02-02	0.8
C1	2006-02-03	0.8
C1	2006-02-04	0.8
C1	2006-02-05	0.8
C1	2006-02-06	0.8
C1	2006-02-07	0.8
C1	2006-02-08	0.8
C1	2006-02-09	0.8
C1	2006-02-10	0.8
C1	2006-02-11	0.8
C1	2006-02-12	0.7
C1	2006-02-13	0.7
C1	2006-02-14	0.7
C1	2006-02-15	0.7
C1	2006-02-16	0.7
C1	2006-02-17	0.7
C1	2006-02-18	0.7
C1	2006-02-19	0.7
C1	2006-02-20	0.7
C1	2006-02-21	0.7
C1	2006-02-22	0.7
C1	2006-02-23	0.7
C1	2006-02-24	0.7
C1	2006-02-25	0.7
C1	2006-02-26	0.7
C1	2006-02-27	0.7
C1	2006-02-28	0.7
C1	2006-03-01	0.7
C1	2006-03-02	0.7
C1	2006-03-03	0.7
C1	2006-03-04	0.7
C1	2006-03-05	0.7
C1	2006-03-06	0.7
C1	2006-03-07	0.7
C1	2006-03-08	0.7
C1	2006-03-09	0.7
C1	2006-03-10	0.7
C1	2006-03-11	0.7
C1	2006-03-12	0.7
C1	2006-03-13	0.7
C1	2006-03-14	0.7
C1	2006-03-15	0.6
C1	2006-03-16	0.6
C1	2006-03-17	0.6
C1	2006-03-18	0.6
C1	2006-03-19	0.6
C1	2006-03-20	0.6
C1	2006-03-21	0.6
C1	2006-03-22	0.6
C1	2006-03-23	0.6
C1	2006-03-24	0.6
C1	2006-03-25	0.6
C1	2006-03-26	0.6
C1	2006-03-27	0.6
C1	2006-03-28	0.6
C1	2006-03-29	0.6
C1	2006-03-30	0.6
C1	2006-03-31	0.6
C1	2006-04-01	0.6
C1	2006-04-02	0.6
C1	2006-04-03	0.6
C1	2006-04-04	0.6
C1	2006-04-05	0.6
C1	2006-04-06	0.6
C1	2006-04-07	0.6
C1	2006-04-08	0.6
C1	2006-04-09	0.6
C1	2006-04-10	0.6
C1	2006-04-11	0.6
C1	2006-04-12	0.6
C1	2006-04-13	0.6
C1	2006-04-14	0.9
C1	2006-04-15	2.0
C1	2006-04-16	2.6
C1	2006-04-17	2.9
C1	2006-04-18	3.0
C1	2006-04-19	3.1
C1	2006-04-20	3.4
C1	2006-04-21	4.2
C1	2006-04-22	4.7
C1	2006-04-23	6.0
C1	2006-04-24	8.5
C1	2006-04-25	12.5
C1	2006-04-26	16.1
C1	2006-04-27	17.8
C1	2006-04-28	20.8
C1	2006-04-29	24.3
C1	2006-04-30	25.0
C1	2006-05-01	24.3
C1	2006-05-02	27.0
C1	2006-05-03	27.4
C1	2006-05-04	31.8
C1	2006-05-05	33.9
C1	2006-05-06	23.6
C1	2006-05-07	16.0
C1	2006-05-08	13.4
